#OK
#SQL= 
#	with MyHalo as (
#	     select * from miniMDR1..FOF
#	        where snapnum=85
#		and fofId=85000004639
#	),
#	
#	fofHaloParticles as (
#	    select fP.* from miniMDR1..FOFParticles fP,
#	            MyHalo mH
#	        where fP.fofId = mH.fofId
#	            and fP.snapnum=85
#	)
#	
#	select p.* from fofHaloParticles hP, miniMDR1..particles p
#	    where p.particleId = hP.particleId
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2014-12-10 22:32:00.303 CET
#QUERYTIME 670 millisec
#COLUMN 1 name=particleId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
particleId,snapnum,x,y,z,vx,vy,vz,phkey
857517117001,85,391.8052,465.953,878.4062,-1788.745,349.7639,365.7469,993939419
857517117002,85,391.5172,466.1913,878.5592,-1878.1857,478.1082,482.1095,993939418
857517117003,85,391.0386,466.2079,878.8201,-1664.1052,744.3929,595.0732,993939418
857517117007,85,391.4839,466.7691,878.6902,-1382.2781,861.0155,-1247.1829,993939418
857517117008,85,391.3958,466.8692,878.6196,-1483.1659,909.1931,-1255.8457,993939395
857517117010,85,391.7834,466.0125,878.2797,-1787.8177,271.4094,330.188,993939419
857517117011,85,391.8137,465.8754,877.9988,-1646.8302,7.7883,654.4554,993939419
857517117015,85,391.4759,466.843,878.9556,-1327.5114,734.0796,-1191.1193,993939390
857517117016,85,391.0956,467.201,879.2217,-1198.9753,583.0023,-1033.0233,993939390
857517117017,85,391.716,465.9623,878.1234,-1637.5569,256.6591,298.9724,993939419
857517117018,85,391.6599,465.9807,878.2913,-1766.98,325.6815,396.5439,993939419
857517117019,85,391.8214,465.9607,878.0306,-1732.4473,103.3382,597.8517,993939419
857517117023,85,391.5209,466.8931,880.0389,-1017.9375,343.3784,-491.1844,993939385
857517117026,85,391.235,466.1037,878.1653,-1668.6145,379.2105,842.6927,993939418
857517117027,85,391.7279,466.0295,878.3152,-1648.1879,292.2619,442.5019,993939419
