#OK
#SQL= select fofId, x, y, z, vx, vy, vz, mass from miniMDR1..FOF f 
#	where f.snapnum=85
#	  and f.x between 390 and 392
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2014-12-10 22:26:08.308 CET
#QUERYTIME 79 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=mass JDBC_TYPE=7 JDBC_TYPENAME=real
fofId,x,y,z,vx,vy,vz,mass
85012997969,391.2684,470.3106,878.3713,-1058.07,-1062.97,-380.56,1.74420001E11
85004763001,391.9688,469.8538,878.3756,-798.07,-962.84,-318.75,7.1512202E11
85012688619,390.105,467.5683,878.3952,-946.24,-42.85,-709.94,1.83141007E11
85000004639,391.0981,466.856,878.4513,-864.19,206.51,-556.84,2.47536867E14
85010471565,390.5284,466.131,865.7495,-820.3,86.85,1391.33,2.70351008E11
85012143790,390.5421,469.6435,878.5069,-513.43,-868.99,-421.81,2.00582988E11
85009578133,391.8562,476.9255,870.4055,-1072.63,-1012.96,820.81,3.13956008E11
85003761444,391.3448,468.5012,878.5475,-1000.45,823.62,-546.53,9.2442604E11
85011899218,390.6341,469.8513,878.6674,-526.12,-869.65,-337.59,2.09303994E11
85010471528,390.8123,470.0428,878.7779,-894.56,-994.72,-292.49,2.70351008E11
85012997966,391.0273,469.7842,878.7841,-699.9,-1212.7,-393.39,1.74420001E11
85003303258,391.5885,468.2869,878.7986,-1048.17,637.89,-250.73,1.06396202E12
85010288102,390.692,468.2294,878.9019,-1323.23,225.82,-839.61,2.79071982E11
85000029047,391.3833,470.0495,879.2868,-817.29,-973.53,-580.24,8.1707047E13
85012997968,390.613,469.9115,879.4243,-754.16,-1303.16,-171.48,1.74420001E11
85000071644,391.4843,458.191,879.471,-318.01,638.73,-304.91,4.1965454E13
85009752436,390.613,468.0983,879.5634,-774.79,576.87,-617.34,3.05235001E11
85011242806,391.1725,467.3619,879.7494,-808.15,337.14,-648.41,2.35466998E11
85009752461,390.9724,477.5383,870.5207,-500.92,-1530.19,792.85,3.05235001E11
85011899220,390.5977,467.4628,879.9854,-636.29,271.11,-558.37,2.09303994E11
85003862497,391.8253,463.9786,871.8719,-1054.05,632.7,389.76,8.9826302E11
85000750929,390.9722,471.3449,880.3342,-1176.67,-1209.15,-711.19,5.0058541E12
85010107426,391.1672,467.0986,880.3343,-496.7,413.37,-221.72,2.87792988E11
85009929067,391.1463,466.1821,880.4402,-545.59,532.56,117.78,2.96513995E11
85002676106,390.7058,517.2881,880.5087,-152.59,-682.36,198.08,1.33431296E12
85005971324,391.3725,510.1087,880.603,-279.25,-760.19,191.51,5.5814396E11
85007311341,390.0127,513.5471,880.6302,-225.22,-758.6,201.12,4.44771009E11
85006424962,391.525,467.0338,880.7115,-625.29,487.44,-216.26,5.14538996E11
85009235984,391.6679,475.9869,872.1304,-992.51,-1187.58,410.36,3.31398021E11
85008902990,391.9698,474.0829,872.8162,-1326.4,-678.93,486.77,3.48840002E11
85011899221,390.725,466.0862,880.941,-745.76,152.19,79.28,2.09303994E11
85012143801,391.8137,471.231,881.678,-972.77,-1058.29,-598.58,2.00582988E11
85007979165,391.7383,429.7614,881.885,-86.33,393.4,-124.38,4.01165976E11
85009929068,390.3733,445.2504,882.1026,-451.35,580.56,-196.56,2.96513995E11
85008740619,390.6444,480.9167,874.2961,-733.83,-1559.96,79.52,3.57561008E11
85003303257,390.5864,432.3595,882.551,-202.24,428.9,-134.78,1.06396202E12
85012693279,391.5729,514.1707,861.1718,-206.67,-611.72,34.48,1.83141007E11
85007067297,391.9188,474.9812,882.5767,-235.55,-938.03,-652.23,4.62213022E11
85011451648,390.0485,433.7225,882.6403,-248.6,427.07,-203.22,2.26746008E11
85008740596,391.0969,471.8141,877.1302,-1612.95,-1047.89,205.55,3.57561008E11
85010471533,390.0518,435.2018,882.7435,-276.64,455.82,-199.94,2.70351008E11
85007309236,390.0577,486.1805,877.2896,-649.05,-1243.97,35.32,4.44771009E11
85005575793,391.6143,457.5367,882.7908,-321.19,401.0,-774.42,6.01749E11
85011670049,391.3338,458.1285,883.2062,-302.06,393.37,-803.24,2.18025001E11
85007309227,391.5464,439.7657,883.6252,-303.5,478.27,-241.96,4.44771009E11
85011451665,390.6415,486.238,883.6371,-541.9,-763.35,-265.77,2.26746008E11
85006424967,390.8846,467.493,883.8615,-620.27,-815.41,-1067.63,5.14538996E11
85012997977,391.6643,469.2509,884.024,-1268.45,-615.13,-931.52,1.74420001E11
85009929073,391.2933,454.8117,884.3751,-282.0,418.11,-690.16,2.96513995E11
85000208047,390.7397,470.1103,877.9426,-1419.53,-731.67,-18.72,1.70233923E13
85001287059,391.7242,476.9559,867.4838,-645.48,-1014.83,787.18,2.88665082E12
85001275996,390.6967,445.6775,877.9781,-422.2,422.3,-115.4,2.91281384E12
85002581604,391.4215,517.8652,879.8234,-222.71,-681.12,264.69,1.386639E12
85003517720,391.3409,449.3106,886.1183,-298.53,395.73,-443.86,9.9419397E11
85003635179,391.3979,447.5567,886.8903,-293.55,552.7,-363.69,9.5931E11
85010657947,391.6542,476.8332,870.4936,-939.23,-1171.45,855.88,2.61630001E11
85003354613,392.0,496.3187,887.0445,-459.24,-873.58,111.37,1.04652E12
85005167758,391.7073,447.5008,887.2153,-221.97,487.03,-529.05,6.5407504E11
85004201930,391.9372,469.971,889.074,-644.74,-346.56,-634.34,8.1977396E11
85010291120,390.1446,504.8857,890.793,-400.75,-767.16,264.52,2.79071982E11
85010850924,390.2778,494.6268,891.0231,-336.4,-545.29,-265.44,2.52908995E11
85002397107,391.0442,428.9579,880.061,-102.18,440.42,-99.04,1.50001195E12
85010850925,390.5192,495.0822,891.3536,-345.56,-532.91,-155.63,2.52908995E11
85000300833,390.113,465.8287,871.7672,-1683.52,-50.02,406.67,1.21745158E13
85001409767,390.3638,449.0229,885.3758,-266.7,424.79,-486.43,2.62502089E12
85004243202,390.1692,474.067,872.2001,-1292.17,-801.03,716.12,8.1105296E11
85010107437,391.2522,458.3248,892.9117,-120.84,381.0,-569.92,2.87792988E11
85000202126,391.1748,458.7959,893.2131,-168.05,366.17,-571.98,1.74681626E13
85003328366,391.497,465.2775,872.4435,-1685.29,-187.63,263.67,1.05524095E12
85011899235,391.1106,459.4427,893.5607,-233.04,278.58,-579.91,2.09303994E11
85009068451,391.0155,467.0292,894.1108,335.74,540.32,-276.59,3.40118995E11
85010110424,391.4982,503.3698,894.3503,-474.8,-633.46,38.12,2.87792988E11
85007979174,391.0336,473.8403,894.685,-417.88,-804.55,-424.54,4.01165976E11
85001877335,390.3721,474.2539,894.7786,-300.63,-786.88,-357.37,1.9447829E12
85008273270,390.1373,446.3581,882.7126,-459.23,539.03,-214.63,3.83723995E11
85005232640,390.8192,509.1827,882.5648,-261.02,-849.76,168.0,6.4535403E11
85011451659,391.9906,467.6096,895.9929,-103.06,459.43,-638.35,2.26746008E11
85005045368,391.6127,486.0505,874.343,-783.61,-1221.95,185.43,6.7151705E11
85012143806,391.2512,467.2812,896.5836,-564.27,-617.96,-561.81,2.00582988E11
85011899236,391.3002,468.5277,896.7342,92.32,-175.68,-451.89,2.09303994E11
85000329346,391.5049,485.1,874.9368,-598.08,-1147.21,170.42,1.11803221E13
85009406028,391.8773,443.4521,897.327,-60.6,243.4,-428.83,3.22677015E11
85011670063,390.5033,468.6372,897.55,29.55,-307.26,-1095.17,2.18025001E11
85002566178,391.2553,457.2773,875.9986,-271.48,743.94,253.88,1.39536001E12
85001570091,391.0131,507.8717,882.7695,-258.6,-792.05,142.72,2.34594894E12
85006055938,391.2513,469.7312,897.8515,344.79,-715.87,-685.03,5.49422989E11
85007067305,391.8168,469.4419,897.8539,85.81,-459.16,-1167.39,4.62213022E11
85001409768,391.8695,485.447,885.0083,-513.71,-948.17,-146.74,2.62502089E12
85006840298,390.0931,490.1877,885.0145,-675.52,-1084.68,2.97,4.79655002E11
85001048285,390.2683,470.8513,898.1539,251.69,-549.82,-463.93,3.56688881E12
85011242821,390.4141,471.4273,898.8917,-39.58,-389.99,-812.39,2.35466998E11
85005296918,391.9555,485.5315,885.6368,-652.18,-1102.74,-163.04,6.3663302E11
85005650645,390.2705,446.2245,878.4594,-366.15,399.82,-250.42,5.9302799E11
85006328833,390.6672,490.6341,886.991,-524.54,-862.14,-234.08,5.23260002E11
85004816900,390.1091,443.2995,899.7064,-12.92,171.5,-464.49,7.0640101E11
85000854470,390.3532,470.8963,899.7391,136.2,-144.19,-662.92,4.39538391E12
85000464512,390.9812,497.577,891.7963,-486.88,-792.49,13.84,8.0582043E12
85000433747,391.1949,495.7462,891.8831,-446.12,-612.36,-215.94,8.6076272E12
85003897635,390.8615,501.7781,893.4969,-455.24,-695.64,-6.08,8.8954202E11
85000446443,390.057,507.8714,895.6328,-485.44,-622.28,243.76,8.37216E12
85006144523,390.2144,515.3786,900.8453,-730.1,-1097.89,-78.01,5.40702015E11
85012998977,390.417,515.2712,901.0278,-232.98,-1326.56,347.63,1.74420001E11
85002284984,390.2058,511.405,901.2689,-952.14,-264.36,51.57,1.57850101E12
85012688643,391.3809,475.8906,872.4628,-940.12,-1379.15,-50.42,1.83141007E11
85006235220,391.1954,444.6752,896.1938,-106.7,220.84,-426.98,5.31981009E11
85012143809,390.6145,470.5374,902.0188,-209.61,295.02,-747.48,2.00582988E11
85010471538,390.8477,431.4874,902.0249,-108.26,134.29,-99.55,2.70351008E11
85006731918,390.0386,441.669,902.065,-71.38,194.64,-378.6,4.88376009E11
85006328823,390.8641,469.7872,902.4878,-395.74,-467.63,-646.57,5.23260002E11
85007565983,391.8837,468.0185,897.3019,-463.68,136.01,-425.96,4.27328995E11
85012405107,391.7936,468.1983,897.5984,-486.13,133.42,-186.39,1.91861998E11
85007309231,390.3716,475.7302,903.6061,-340.13,-688.85,-268.25,4.44771009E11
85006328822,390.7717,470.7131,903.6312,-406.86,-577.14,-588.29,5.23260002E11
85012405108,391.5726,468.295,897.7577,-437.69,35.86,-334.76,1.91861998E11
85007186105,391.4865,471.6947,905.7026,-305.94,-51.76,-582.75,4.53492015E11
